day,arima_forecast,arima_lower,arima_upper,lstm_forecast,lstm_lower,lstm_upper,prophet_forecast,prophet_lower,prophet_upper,coin
1,106017.52129931393,101808.49405424972,110226.54854437814,80807.60834728992,,,107077.69651230707,100790.40911370722,111328.81402982192,BTC
2,105949.586300746,100001.02490887852,111898.14769261348,58017.97048557774,,,107009.08216375345,99001.01465978974,113017.12916953962,BTC
3,105907.39052810254,98640.68313413789,113174.09792206719,35073.56499276761,,,106966.46443338356,97654.27630279651,114305.83890128786,BTC
4,105870.40059912071,97533.55256042362,114207.2486378178,22254.649171068184,,,106929.10460511192,96558.21703481938,115349.32112419598,BTC
5,105859.411848938,96594.34215351628,115124.48154435973,19606.50143969452,,,106918.00596742738,95628.39873198111,116275.72635980333,BTC
6,105861.2231305967,95768.76919279546,115953.67706839794,71326.08702427501,,,106919.83536190267,94811.0815008675,117113.21383908192,BTC
7,105863.1836518361,95005.27552247923,116721.09178119295,49128.38460510326,,,106921.81548835446,94055.22276725444,117888.30269900488,BTC
8,105864.20446387424,94290.52302530219,117437.88590244629,2619.006339089604,,,106922.84650851299,93347.61779504917,118612.26476147075,BTC
9,105864.63232764087,93616.23669845796,118113.02795682377,53566.86721807617,,,106923.27865091727,92680.07433147337,119294.15823639202,BTC
10,105864.6727435714,92976.59276197382,118752.75272516898,55747.561032616926,,,106923.31947100711,92046.82683435408,119940.28025242066,BTC
11,105864.60981425656,92367.03858757601,119362.18104093711,1195.4441861458997,,,106923.25591239912,91443.36820170026,120555.80285134648,BTC
12,105864.57058928814,91783.89445862759,119945.24671994869,64286.72115312161,,,106923.21629518102,90866.05551404132,121144.69918714817,BTC
13,105864.55565793836,91223.99791595244,120505.11339992427,80008.91947541492,,,106923.20121451774,90311.75793679291,121710.16453392351,BTC
14,105864.5526223704,90684.75875184863,121044.34649289216,80347.9121667339,,,106923.19814859409,89777.91116433014,122254.78995782108,BTC
15,105864.55381713582,90164.03516206655,121565.0724722051,65125.35468806545,,,106923.19935530718,89262.39481044588,122780.72319692715,BTC
16,105864.55518301838,89660.03643439163,122069.07393164514,3071.1346944379193,,,106923.20073484856,88763.43607004771,123289.7646709616,BTC
17,105864.55578039616,89171.24605708991,122557.8655037024,67135.08637805251,,,106923.20133820012,88279.53359651902,123783.44415873942,BTC
18,105864.5559243013,88696.36555274198,123032.74629586062,94755.26782977296,,,106923.20148354431,87809.40189721456,124263.07375881923,BTC
19,105864.55590870189,88234.27130784516,123494.84050955862,68848.12265318134,,,106923.20146778891,87351.92859476671,124729.78891465421,BTC
20,105864.55586903502,87783.98315190688,123945.12858616315,80030.10676504183,,,106923.20142772536,86906.14332038781,125184.57987202478,BTC
21,105864.55584642307,87344.63997073399,124384.47172211215,36798.34929483621,,,106923.2014048873,86471.19357102664,125628.31643933327,BTC
22,105864.55583965048,86915.48045482703,124813.63122447392,26930.979515509345,,,106923.20139804698,86046.32565027876,126061.76753671866,BTC
23,105864.55583939276,86495.82764915742,125233.2840296281,87143.40494153845,,,106923.20139778669,85630.86937266585,126485.61686992439,BTC
24,105864.55584048541,86085.0764375584,125644.03524341242,78805.53311113453,,,106923.20139889026,85224.22567318281,126900.47559584655,BTC
25,105864.55584125694,85682.68330163992,126046.42838087396,11581.403846839123,,,106923.2013996695,84825.85646862352,127306.8926646827,BTC
26,105864.55584154799,85288.15788246293,126440.95380063305,69267.5234682471,,,106923.20139996347,84435.2763036383,127705.36333863939,BTC
27,105864.55584158884,84901.05597297632,126828.05571020136,7104.72873062035,,,106923.20140000472,84052.04541324655,128096.33626730337,BTC
28,105864.55584156163,84520.97365596745,127208.1380271558,71700.7220803701,,,106923.20139997725,83675.76391940778,128480.21940742736,BTC
29,105864.55584153638,84147.54236626855,127581.5693168042,65879.00691397283,,,106923.20139995174,83306.06694260586,128857.38500997225,BTC
30,105864.55584152507,83780.42470497423,127948.68697807592,59133.21551153868,,,106923.20139994033,82942.62045792448,129228.17384785667,BTC
1,3569.811686999207,3327.582122951939,3812.041251046475,2779.7849375679157,,,3605.509803869199,3294.3063017224194,3850.1616635569394,ETH
2,3557.0989089815143,3215.635651250455,3898.562166712574,2684.7072299632023,,,3592.6698980713295,3183.47929473795,3937.5477883797,ETH
3,3563.919829920637,3148.993745043564,3978.8459147977096,1036.1432931496843,,,3599.559028219843,3117.5038075931284,4018.6343739456865,ETH
4,3564.791540563855,3095.708711194781,4033.8743699329293,2492.6191789892714,,,3600.439455969494,3064.751624082833,4074.2131136322587,ETH
5,3565.4901021671762,3044.359782226831,4086.6204221075213,108.35079950780647,,,3601.145003188848,3013.916184404563,4127.486626328597,ETH
6,3564.58906828337,2995.2255407989533,4133.952595767787,1334.6057012990304,,,3600.234958966204,2965.273285390964,4175.292121725465,ETH
7,3564.650850344838,2950.5215457167146,4178.780154972961,1665.4950502139777,,,3600.2973588482864,2921.0163302595474,4220.567956522691,ETH
8,3564.6971280198845,2909.276309133974,4220.117946905795,1562.765365224449,,,3600.3440993000836,2880.183546042634,4262.319126374853,ETH
9,3564.7877603685665,2870.5352633339585,4259.040257403174,1935.547669700752,,,3600.435637972252,2841.8299107006187,4301.630659977206,ETH
10,3564.757522365851,2833.7014476073937,4295.813597124308,2979.455869353665,,,3600.4050975895093,2805.36443313132,4338.771733095551,ETH
11,3564.748184439656,2798.6160284822304,4330.880340397081,2058.251860106245,,,3600.395666284053,2770.629868197408,4374.1891438010525,ETH
12,3564.7444585720423,2765.0832703016476,4364.405646842437,1759.9775262386493,,,3600.391903157763,2737.432437598631,4408.049703310861,ETH
