date,coin,open,high,low,close,volume,avg_sentiment,sentiment_count,sentiment_7d,sentiment_14d,sentiment_30d,log_return,volatility_14d,future_vol_7d,future_vol_14d,future_vol_30d,future_return_7d,future_return_14d,future_return_30d
2025-02-25,ADA,0.6816,0.695,0.6302,0.6832,314619948.7,0.4939,2.0,0.3779785714285714,0.4301089285714285,0.43678327777777776,-0.1192131860659117,,0.18312123327644975,0.18236374006937317,0.049896824713835275,0.1785714285714286,0.06659836065573765,0.11592505854800916
2025-02-26,ADA,0.6832,0.6954,0.6312,0.6474,188683060.2,0.9268,2.0,0.3756785714285714,0.45649464285714286,0.4361166111111111,-0.05382330098221616,,0.18608467738043782,0.1829265856071606,0.04641775236684006,0.08881680568427552,0.04572134692616636,0.14720420142106905
2025-02-27,ADA,0.6475,0.6798,0.6263,0.6451,119338095.8,0.7757,2.0,0.39287857142857147,0.4494017857142857,0.4337032777777778,-0.003558997953947956,,0.18537413428194568,0.1832799726931865,0.04661062021108379,0.11223066191288167,0.008835839404743417,0.19252829018756779
2025-03-01,ADA,0.6328,0.677,0.6252,0.6593,101845318.3,0.4588,2.0,0.4198571428571429,0.449675,0.4230532777777778,0.021773322581058064,,0.1855141746645705,0.18394929540144217,,0.12786288487790087,-0.07401789777036238,
2025-03-02,ADA,0.6593,1.1488,0.645,1.135,1462027409.9,0.4623,4.0,0.40627142857142856,0.4329392857142857,0.41903194444444447,0.5432092637962491,0.15610829533721904,0.18557692951822094,0.09649832274616121,,-0.37885462555066085,-0.44651982378854627,
2025-03-03,ADA,1.1349,1.1747,0.8228,0.8578,1410346466.6,0.4565333333333333,6.0,0.3840047619047619,0.42377023809523806,0.4342497222222222,-0.280016957832723,0.1762045035419157,0.18515086568205538,0.07332473006969394,,-0.1823268827232455,-0.20797388668687344,
2025-03-04,ADA,0.8577,0.9562,0.7576,0.9409,1103033777.6,0.7882,2.0,0.6231761904761904,0.4142345238095238,0.44482861111111116,0.09246589192993977,0.17748021868296204,0.18517429750191083,0.06767941470670594,,-0.24465936868955251,-0.25847592730364544,
2025-03-08,ADA,0.818,0.8392,0.7931,0.8052,195763913.6,-0.9118,2.0,0.42236190476190477,0.40017023809523816,0.4135686111111111,-0.1557461702470835,0.18312123327644975,0.18236374006937317,0.05563539543235857,,-0.0950074515648286,-0.15350223546944863,
2025-03-16,ADA,0.7468,0.7473,0.6936,0.7049,166304049.4,0.83925,4.0,0.40985476190476194,0.3927666666666667,0.4183236111111111,-0.13303474498580653,0.18608467738043782,0.1829265856071606,0.04402103059820905,,-0.03958008228117449,-0.007660661086678955,
2025-03-17,ADA,0.7049,0.732,0.7024,0.7175,124793194.3,0.9674,2.0,0.4372404761904762,0.41505952380952377,0.4505702777777778,0.017716998853946245,0.18537413428194568,0.1832799726931865,0.050825655658001734,,-0.09296167247386755,0.07219512195121935,
2025-03-19,ADA,0.7017,0.747,0.7003,0.7436,203333627.3,0.51185,4.0,0.4448190476190476,0.43233809523809524,0.4402152777777778,0.03573030821351269,0.1855141746645705,0.18394929540144217,0.0500931526418963,,-0.17899408284023666,0.045454545454545414,
